GeneSymbol	Mix1	Mix2	Mix3	Mix4	Mix5
IL6ST	236.666259506	230.279440901	185.582395094	183.94271067	166.379204974
IL7	172.7630872153	84.9374168539	46.4739565464	140.7058802042	52.0696479323
IL7R	5310.770861585	4127.30359491	2059.7513639715	2473.653760531	1370.735097689
IL8	195.2337656692	402.3449397651	957.3008133472	3363.2843984144	4010.5156565268
IL9	433.1243495787	685.02237873736	227.21747743868	101.59178448008	28.08998898662
ILF2	1496.321133826	1612.739852074	1242.771946596	1118.7321630016	852.107326406
ILF3	1065.424092787	1020.050338814	759.267275306	836.252783038	588.262851184
ILK	1295.346995484	1344.087301567	1587.208500021	1302.518772958	1659.20578614
ILKAP	488.092602326	528.640195725	494.512518989	432.529148855	452.88857821
ILVBL	271.217112609	301.039377537	252.653227392	181.465372701	183.122803475
IMMT	1044.207144609	1145.324006461	1318.222129017	860.368306203	1054.161714286
IMP3	1534.264440287	1360.715848915	1125.053072149	1134.683537879	907.955666089
IMP4	453.5445950206	458.260413607	559.109318454	373.7321031107	466.250266281
IMPA1	1134.033329556	1169.061116415	1383.342634966	1455.201698323	1563.60054314
IMPA2	100.2171460713	176.6251188876	336.8453632927	636.3122689797	860.2934801601
IMPACT	185.2436259342	189.4364752411	156.4549263615	192.852592327	181.2482484645
IMPAD1	250.0483826852	336.095992306	282.880334054	201.7959927877	264.989977541
IMPDH1	667.004682645	651.112571071	746.065673053	1314.936482484	1528.956879527
IMPDH2	2236.595795896	2234.592414343	1473.844002934	1496.223648618	897.159096431
IMPG1	6.18244001593	6.30301590094	7.74563108683	4.42806962107	5.34883132756
IMPG2	78.7524190736	65.7950241682	40.0044028313	77.406215307	51.3826665125
INA	269.163622666	242.7497655802	175.4857271646	290.7914896616	223.5313143484
INADL	34.02462961511	43.7946147832	27.93271867997	37.5683713438	38.19206016604
INCENP	44.9627023098	48.0259408751	57.643064894	34.5625852716	39.2999799891
INE1	107.5696741682	130.0868888053	161.1610171953	122.6591666589	171.7984575922
INF2	482.787660362	561.188065047	401.762111361	395.79167295	439.334861817
ING1	582.843929988	511.468528757	444.007310502	591.132260539	490.51879035
ING2	414.748750039	448.351961269	372.995729735	535.340050505	573.505984009
ING3	1233.488812324	1288.311946886	972.461390362	1023.165617317	724.263884202
ING4	352.35656722	328.731204527	389.561758036	328.247642137	371.483484934
INHA	182.7485857638	174.3413153728	120.4468792569	168.761917738	123.8088735893
INHBA	19.44468373965	40.75652247882	72.2001092582	125.51834237866	192.30954853987
INHBB	107.9535877913	88.4271215194	78.1288015281	168.7535753875	156.5599602868
INHBC	613.9325082	541.245872038	226.98386855	598.721284313	267.097493326
INHBE	51.74135963423	45.87917396526	38.49707064387	57.18816504111	46.6161660083
INO80B	162.3095070739	172.181373208	174.4515610003	97.2880091786	119.9042213963
INO80D	297.144000748	285.799331904	214.776769035	292.770892484	217.733300322
INPP1	575.00214346	694.016450394	655.700397589	1085.198969439	1120.363411794
INPP4A	239.075000091	267.967574107	247.1447472304	192.1101441437	180.2408284794
INPP4B	411.73633379755	396.06435534115	249.03466450747	152.0844096366	99.99079400914
INPP5A	510.10987756	478.863367583	425.917387943	961.362197597	943.566966286
INPP5B	146.8530247761	147.4688409868	186.9409703843	147.2865719898	165.2447739394
