From	To	Group	ratioScore
CD63	Mast_cells	g1	0
CD63	Mast_cells	g2	1
CD63	NK_cells	g1	1
CD63	NK_cells	g2	2
CD70	CD27	g1	2
CD70	CD27	g2	0
CD74	Eosinophils	g1	2
CD74	Eosinophils	g2	0
CD74	Macrophage	g1	0
CD74	Macrophage	g2	0
CD74	Mast_cells	g1	0
CD74	Mast_cells	g2	1
CD74	NK_cells	g1	0
CD74	NK_cells	g2	1
CD79A	Eosinophils	g1	0
CD79A	Eosinophils	g2	0
CD80	CD28	g1	0
CD80	CD28	g2	1
CD80	CTLA4	g1	0
CD80	CTLA4	g2	0.5
CD81	Eosinophils	g1	0
CD81	Eosinophils	g2	1
CD81	Macrophage	g1	0
CD81	Macrophage	g2	0.5
CD81	Mast_cells	g1	0
CD81	Mast_cells	g2	1
CD81	NK_cells	g1	1
CD81	NK_cells	g2	2
CD82	Eosinophils	g1	0
CD82	Eosinophils	g2	0
CD82	Macrophage	g1	1
CD82	Macrophage	g2	1
CD82	Mast_cells	g1	1
CD82	Mast_cells	g2	0
CD82	NK_cells	g1	0
CD82	NK_cells	g2	0
CD9	Eosinophils	g1	0
CD9	Eosinophils	g2	0
CD9	Macrophage	g1	0
CD9	Macrophage	g2	0
CD9	Mast_cells	g1	0
CD9	Mast_cells	g2	0.5
CD93	Eosinophils	g1	0
CD93	Eosinophils	g2	1
CD97	Eosinophils	g1	0
CD97	Eosinophils	g2	1
CD97	Macrophage	g1	0
CD97	Macrophage	g2	0.5
CD97	Mast_cells	g1	0
CD97	Mast_cells	g2	1
CD97	NK_cells	g1	1
CD97	NK_cells	g2	2
CDH1	EGFR	g1	0
CDH1	EGFR	g2	0
CDH1	IGF1R	g1	0
CDH1	IGF1R	g2	0
CDH1	ITGAE	g1	2
CDH1	ITGAE	g2	1
CDH1	ITGB7	g1	2
CDH1	ITGB7	g2	0
CDH1	PTPRF	g1	2
CDH1	PTPRF	g2	0
CDH1	PTPRM	g1	1
CDH1	PTPRM	g2	0
CEL	CXCR4	g1	0
CEL	CXCR4	g2	0
CFH	ITGAM	g1	1
CFH	ITGAM	g2	2
CFH	SELL	g1	0
CFH	SELL	g2	0
CGA	FSHR	g1	1
CGA	FSHR	g2	1
CGA	LHCGR	g1	1
CGA	LHCGR	g2	1
CGA	TSHR	g1	2
CGA	TSHR	g2	0
CHAD	ITGA2	g1	1
CHAD	ITGA2	g2	2
CHAD	ITGB1	g1	1
CHAD	ITGB1	g2	1
CLCF1	CNTFR	g1	0
CLCF1	CNTFR	g2	0
CLCF1	CRLF1	g1	0
CLCF1	CRLF1	g2	0
CLCF1	IL6ST	g1	0
CLCF1	IL6ST	g2	0
CLCF1	LIFR	g1	0
CLCF1	LIFR	g2	0.5
CMKLR1	Macrophage	g1	0
CMKLR1	Macrophage	g2	0.5
CNTN2	CNTN1	g1	0
CNTN2	CNTN1	g2	1
CNTN2	CNTNAP2	g1	0
CNTN2	CNTNAP2	g2	1
CNTN2	NRCAM	g1	0
CNTN2	NRCAM	g2	1
COL11A1	DDR1	g1	2
COL11A1	DDR1	g2	0
COL13A1	Mast_cells	g1	0
COL13A1	Mast_cells	g2	0
COL14A1	CD44	g1	0
