gene	sample	expression
ACTN4	s2	659.366225442
ACTN4	s3	537.004871185
ACTN4	s4	642.60306235
ACTN4	s5	613.150721278
ACTR10	s1	1507.778754858
ACTR10	s2	1612.33278629
ACTR10	s3	2054.55756629
ACTR10	s4	1712.48654457
ACTR10	s5	2011.69035871
ACTR1A	s1	464.575303328
ACTR1A	s2	562.423761813
ACTR1A	s3	786.533616572
ACTR1A	s4	531.466738381
ACTR1A	s5	898.785210835
ACTR1B	s1	1176.805082014
ACTR1B	s2	1188.0059786
ACTR1B	s3	903.539266273
ACTR1B	s4	943.140381542
ACTR1B	s5	754.625747126
ACTR2	s1	3693.79620794
ACTR2	s2	3756.25581525
ACTR2	s3	4729.7077431
ACTR2	s4	3696.5143306
ACTR2	s5	4019.1793254
ACTR3	s1	3941.00753285
ACTR3	s2	3687.10750112
ACTR3	s3	5085.76015764
ACTR3	s4	4135.26938752
ACTR3	s5	4675.26329274
ACTR3B	s1	86.36912547264
ACTR3B	s2	94.56411000832
ACTR3B	s3	84.31811562958
ACTR3B	s4	97.18469398494
ACTR3B	s5	97.9320535273
ACTR5	s1	487.866377498
ACTR5	s2	425.822997957
ACTR5	s3	329.31304028
ACTR5	s4	406.881116485
ACTR5	s5	262.642751039
ACTR6	s1	387.44283873
ACTR6	s2	374.030074316
ACTR6	s3	514.578021493
ACTR6	s4	296.2207304065
ACTR6	s5	378.889750383
ACTR8	s1	355.226962271
ACTR8	s2	304.283639401
ACTR8	s3	273.797472759
ACTR8	s4	372.727999785
ACTR8	s5	298.790658334
ACVR1	s1	379.289772194
ACVR1	s2	447.832660251
ACVR1	s3	444.602045304
ACVR1	s4	442.113489686
ACVR1	s5	543.620649143
ACVR1B	s1	137.5536298485
ACVR1B	s2	145.0768741553
ACVR1B	s3	168.7052706521
ACVR1B	s4	174.4249518164
ACVR1B	s5	201.9694680832
ACVR2A	s1	450.60777095
ACVR2A	s2	440.446170993
ACVR2A	s3	358.433951322
ACVR2A	s4	453.274718525
ACVR2A	s5	423.905859835
ACVR2B	s1	537.02314804
ACVR2B	s2	501.354590234
ACVR2B	s3	387.860133211
ACVR2B	s4	543.125545875
ACVR2B	s5	400.325457737
ACVRL1	s1	105.5938758073
ACVRL1	s2	114.1969422042
ACVRL1	s3	78.9845447615
ACVRL1	s4	82.4994726918
ACVRL1	s5	84.3079267104
ACY1	s1	179.4984953496
ACY1	s2	212.2240578606
ACY1	s3	266.5098385806
ACY1	s4	202.3859488652
ACY1	s5	286.6140782362
ACYP1	s1	347.8009712128
ACYP1	s2	299.7171470453
ACYP1	s3	308.6813496008
ACYP1	s4	189.0815093461
ACYP1	s5	141.3627164477
ACYP2	s1	409.458992805
ACYP2	s2	394.048900386
ACYP2	s3	356.55851537
ACYP2	s4	343.183370351
ACYP2	s5	299.929398474
ADA	s1	532.2796662602
ADA	s2	565.49545965
ADA	s3	764.294491758
ADA	s4	352.0549638024
ADA	s5	631.986353425
ADAM10	s1	377.562251971
ADAM10	s2	398.681081302
ADAM10	s3	481.495796614
ADAM10	s4	351.708545736
ADAM10	s5	436.804090981
ADAM11	s1	46.8972858965
ADAM11	s2	61.8690075915
ADAM11	s3	50.8002334734
ADAM11	s4	43.3280036817
ADAM11	s5	63.3965149958
ADAM12	s1	180.7235099963
ADAM12	s2	205.5495135707
ADAM12	s3	150.1204948833
ADAM12	s4	298.350617361
ADAM12	s5	296.9381320351
ADAM15	s1	54.3210205672
ADAM15	s2	85.6716542689
ADAM15	s3	101.2658742639
ADAM15	s4	34.1068634867
ADAM15	s5	95.3390784834
ADAM17	s1	316.1900852562
ADAM17	s2	337.2888240707
ADAM17	s3	354.7463116341
ADAM17	s4	400.985193939
