Node	Group	UpBinRatio
AMH	g2	0.5
AMHR2	g1	0.5
AMHR2	g2	1
AMIGO2	g1	1
AMIGO2	g2	0.5
AMMECR1	g1	1
AMMECR1	g2	0.5
AMN	g1	1
AMN	g2	0.6666666666666666
AMOT	g1	1
AMOT	g2	0.5
AMOTL2	g1	0.5
AMOTL2	g2	1
AMPD1	g1	1
AMPD1	g2	0.5
AMPD2	g1	0
AMPD2	g2	1
AMPD3	g1	0.5
AMPD3	g2	1
AMPH	g1	1
AMPH	g2	0.5
AMT	g1	1
AMT	g2	0.5
AMZ2	g1	1
AMZ2	g2	0.5
ANAPC10	g1	1
ANAPC10	g2	0.5
ANAPC13	g1	1
ANAPC13	g2	0.5
ANAPC2	g1	1
ANAPC2	g2	0.5
ANAPC5	g1	1
ANAPC5	g2	0.5
ANG	g1	1
ANG	g2	0.5
ANGEL1	g1	1
ANGEL1	g2	0.5
ANGEL2	g1	1
ANGEL2	g2	0.5
ANGPT1	g1	1
ANGPT1	g2	0.5
ANGPT2	g1	0
ANGPT2	g2	1
ANGPT4	g1	1
ANGPT4	g2	0.5
ANGPTL2	g1	1
ANGPTL2	g2	0.5
ANGPTL3	g1	1
ANGPTL3	g2	0.5
ANGPTL4	g1	0
ANGPTL4	g2	1
ANGPTL7	g1	1
ANGPTL7	g2	0.5
ANK1	g1	1
ANK1	g2	0.5
ANK2	g1	1
ANK2	g2	0.5
ANK3	g1	1
ANK3	g2	0.5
ANKFY1	g1	0.5
ANKFY1	g2	1
ANKHD1	g1	1
ANKHD1	g2	0.5
ANKLE2	g1	1
ANKLE2	g2	0.5
ANKMY1	g1	1
ANKMY1	g2	0.6666666666666666
ANKMY2	g1	0
ANKMY2	g2	1
ANKRA2	g1	1
ANKRA2	g2	0.5
ANKRD1	g1	1
ANKRD1	g2	0.5
ANKRD10	g1	1
ANKRD10	g2	0.5
ANKRD11	g1	1
ANKRD11	g2	0.5
ANKRD12	g1	0.5
ANKRD12	g2	1
ANKRD17	g1	1
ANKRD17	g2	0.5
ANKRD2	g1	0.5
ANKRD2	g2	1
ANKRD26	g1	1
ANKRD26	g2	0.5
ANKRD27	g1	0
ANKRD27	g2	1
ANKRD28	g1	0.5
ANKRD28	g2	1
ANKRD46	g1	0.5
ANKRD46	g2	1
ANKRD49	g1	1
ANKRD49	g2	0.5
ANKRD5	g1	1
ANKRD5	g2	0.5
ANKRD55	g1	1
ANKRD55	g2	0.5
ANKRD57	g1	1
ANKRD57	g2	0.5
ANKRD6	g1	0.5
ANKRD6	g2	1
ANKRD7	g1	1
ANKRD7	g2	0.5
ANKS1A	g1	0
ANKS1A	g2	1
ANKS1B	g1	1
ANKS1B	g2	0.5
ANKZF1	g1	1
ANKZF1	g2	0.5
ANO1	g1	0.5
ANO1	g2	1
ANO10	g1	0
ANO10	g2	1
ANO2	g1	0.5
ANO2	g2	1
ANO3	g1	0.5
ANO3	g2	1
ANP32A	g1	1
ANP32A	g2	0.6666666666666666
ANP32B	g1	1
ANP32B	g2	0.5
ANP32C	g1	1
ANP32C	g2	0.5
ANP32D	g1	0.5
ANP32D	g2	1
ANP32E	g1	1
ANP32E	g2	0.5
ANPEP	g1	0
ANPEP	g2	1
ANTXR1	g1	0
ANTXR1	g2	1
ANXA1	g1	0
ANXA1	g2	1
ANXA10	g1	1
ANXA10	g2	0.5
ANXA11	g1	1
ANXA11	g2	0.6666666666666666
ANXA13	g1	1
ANXA13	g2	0.5
ANXA2	g1	0.5
ANXA2	g2	1
ANXA2P1	g1	0.5
ANXA2P1	g2	1
ANXA2P2	g1	0.5
ANXA2P2	g2	1
ANXA2P3	g1	1
ANXA2P3	g2	0.5
ANXA3	g1	0
ANXA3	g2	1
ANXA4	g1	0
ANXA4	g2	1
ANXA5	g1	0
ANXA5	g2	1
ANXA6	g1	1
ANXA6	g2	0.5
ANXA7	g1	0.5
ANXA7	g2	1
ANXA9	g1	1
ANXA9	g2	0.6666666666666666
AOAH	g1	1
AOAH	g2	0.6666666666666666
AOC2	g1	0.5
AOC2	g2	1
AOC3	g1	0.5
AOC3	g2	1
AOC4	g1	1
AOC4	g2	0.6666666666666666
AOX1	g1	1
AOX1	g2	0.5
AP1AR	g1	1
