feature	sample	value
B_cells_memory	TCGA-24-0975	0
B_cells_memory	TCGA-24-1103	0.0636458283867084
B_cells_memory	TCGA-24-1413	0.0175254473835759
B_cells_memory	TCGA-24-1416	0.0179764051744536
B_cells_memory	TCGA-24-1417	0
B_cells_memory	TCGA-24-1418	0.0362754297198092
B_cells_memory	TCGA-24-1419	0.0102323565309665
B_cells_memory	TCGA-24-1423	0.120064532526471
B_cells_memory	TCGA-24-1424	0
B_cells_memory	TCGA-24-1425	0
B_cells_memory	TCGA-24-1427	0
B_cells_memory	TCGA-24-1428	0.0303195696495297
B_cells_memory	TCGA-24-1430	0.113581157116999
B_cells_memory	TCGA-24-1434	0.0421692165517921
B_cells_memory	TCGA-24-1435	0.0287177018256394
B_cells_memory	TCGA-24-1436	0.0308907838188838
B_cells_memory	TCGA-24-1463	0.0425172943688173
B_cells_memory	TCGA-24-1467	0.0721141958314011
B_cells_memory	TCGA-24-1469	0.116425071182607
B_cells_memory	TCGA-24-1474	0.0239917329071769
B_cells_memory	TCGA-24-1544	0.015568425638272
B_cells_memory	TCGA-24-1545	0
B_cells_memory	TCGA-24-1546	0.0882244999936132
B_cells_memory	TCGA-24-1548	0.160555061368472
B_cells_memory	TCGA-24-1549	0
B_cells_memory	TCGA-24-1550	0
B_cells_memory	TCGA-24-1551	0.0126069101784126
B_cells_memory	TCGA-24-1552	0.00555372038880695
B_cells_memory	TCGA-24-1553	0.0227488862358524
B_cells_memory	TCGA-24-1555	0.0534715369864435
B_cells_memory	TCGA-24-1556	0
B_cells_memory	TCGA-24-1557	0.00588906394127101
B_cells_memory	TCGA-24-1558	0.0189775427750556
B_cells_memory	TCGA-24-1560	0.0414881721360281
B_cells_memory	TCGA-24-1562	0.0343094773505106
B_cells_memory	TCGA-24-1563	0.0584306270076494
B_cells_memory	TCGA-24-1564	0.0171499910738707
B_cells_memory	TCGA-24-1567	0
B_cells_memory	TCGA-24-1603	0.0151048159792305
B_cells_memory	TCGA-24-1604	0.0366815044388123
B_cells_memory	TCGA-24-1616	0
B_cells_memory	TCGA-24-1842	0.00729786215115238
B_cells_memory	TCGA-24-1843	0.0177430697972345
B_cells_memory	TCGA-24-1844	0.00555065924896797
B_cells_memory	TCGA-24-1846	0
B_cells_memory	TCGA-24-1847	0.0115072832631214
B_cells_memory	TCGA-24-1849	0
B_cells_memory	TCGA-24-1850	0.124030328158587
B_cells_memory	TCGA-24-1924	0
B_cells_memory	TCGA-24-1928	0.0147636634566004
B_cells_memory	TCGA-24-1930	0
B_cells_memory	TCGA-24-2019	0
B_cells_memory	TCGA-24-2020	0.061425575308225
B_cells_memory	TCGA-24-2023	0
B_cells_memory	TCGA-24-2024	0.0874393022559957
B_cells_memory	TCGA-24-2026	0.00387551478915633
B_cells_memory	TCGA-24-2027	0
B_cells_memory	TCGA-24-2033	0
B_cells_memory	TCGA-24-2035	0
B_cells_memory	TCGA-24-2038	0.0043217224947899
B_cells_memory	TCGA-24-2254	0.0103525453826108
B_cells_memory	TCGA-24-2261	0
B_cells_memory	TCGA-24-2262	0
B_cells_memory	TCGA-24-2267	0.0177261697912185
B_cells_memory	TCGA-24-2271	0
B_cells_memory	TCGA-24-2281	0.0390161691146691
B_cells_memory	TCGA-24-2288	0.036113164445739
B_cells_memory	TCGA-24-2289	0
B_cells_memory	TCGA-24-2290	0.0170756439739886
B_cells_memory	TCGA-24-2293	0
B_cells_memory	TCGA-24-2297	0.0421434067261095
B_cells_memory	TCGA-24-2298	0
B_cells_memory	TCGA-25-1312	0
B_cells_memory	TCGA-25-1313	0.0342720919021869
B_cells_memory	TCGA-25-1314	0
B_cells_memory	TCGA-25-1315	0.031444565086764
B_cells_memory	TCGA-25-1316	0
B_cells_memory	TCGA-25-1317	0
B_cells_memory	TCGA-25-1318	0.0307838262261536
B_cells_memory	TCGA-25-1319	0.0106790310766614
B_cells_memory	TCGA-25-1320	0.0140263606906509
B_cells_memory	TCGA-25-1321	0.102703307108949
B_cells_memory	TCGA-25-1322	0
B_cells_memory	TCGA-25-1323	0.0327071555392103
B_cells_memory	TCGA-25-1324	0.104774262043839
B_cells_memory	TCGA-25-1326	0.0260806252420763
B_cells_memory	TCGA-25-1328	0
B_cells_memory	TCGA-25-1329	0.0614325234551864
B_cells_memory	TCGA-25-1623	0.0111831860104987
B_cells_memory	TCGA-25-1625	0
B_cells_memory	TCGA-25-1626	0
B_cells_memory	TCGA-25-1627	0.0675579650646105
B_cells_memory	TCGA-25-1628	0
B_cells_memory	TCGA-25-1630	0.0388791537648175
B_cells_memory	TCGA-25-1631	0
B_cells_memory	TCGA-25-1632	0.0557070817368967
B_cells_memory	TCGA-25-1633	0
B_cells_memory	TCGA-25-1634	0
B_cells_memory	TCGA-25-1635	0
B_cells_memory	TCGA-25-1870	0.0492758011145718
B_cells_memory	TCGA-25-1871	0
B_cells_memory	TCGA-25-2042	0
B_cells_memory	TCGA-25-2391	0
B_cells_memory	TCGA-25-2392	0.0402875254927722
B_cells_memory	TCGA-25-2393	0
B_cells_memory	TCGA-25-2396	0
B_cells_memory	TCGA-25-2397	0.0212147904919161
B_cells_memory	TCGA-25-2398	0.0918332582986648
B_cells_memory	TCGA-25-2399	0
B_cells_memory	TCGA-25-2400	0
B_cells_memory	TCGA-25-2401	0
B_cells_memory	TCGA-25-2404	0.0074792792070704104
B_cells_memory	TCGA-25-2409	0.0109988947007751
B_cells_memory	TCGA-26-1442	0
B_cells_memory	TCGA-26-5132	0.0148588347083733
B_cells_memory	TCGA-26-5133	0.0584179087978279
B_cells_memory	TCGA-26-5134	0.0148761512222505
B_cells_memory	TCGA-26-5135	0.00434975603332063
B_cells_memory	TCGA-26-5136	0
B_cells_memory	TCGA-26-5139	0
B_cells_memory	TCGA-27-1830	0.0163444695758849
B_cells_memory	TCGA-27-1831	6.36325603520787e-4
B_cells_memory	TCGA-27-1832	0.0213974335842558
B_cells_memory	TCGA-27-1834	0.0380372092002459
B_cells_memory	TCGA-27-1835	0.00285819105801777
B_cells_memory	TCGA-27-1837	0
B_cells_memory	TCGA-27-2519	0.0653325157542824
B_cells_memory	TCGA-27-2521	0.0154503103935947
B_cells_memory	TCGA-27-2523	0.0159499080003946
B_cells_memory	TCGA-27-2524	0.00132890952134913
B_cells_memory	TCGA-27-2526	0.0215629190015369
B_cells_memory	TCGA-27-2528	0
B_cells_memory	TCGA-28-1747	0
B_cells_memory	TCGA-28-1753	0.0240624880674905
B_cells_memory	TCGA-28-2499	0
B_cells_memory	TCGA-28-2509	0.017884706046596
B_cells_memory	TCGA-28-2510	0
B_cells_memory	TCGA-28-2513	0.0209676375710507
B_cells_memory	TCGA-28-2514	0.003536959658344
B_cells_memory	TCGA-28-5204	0.0389965155839856
B_cells_memory	TCGA-28-5207	0.0157306167770085
B_cells_memory	TCGA-28-5208	0.0385235919393003
B_cells_memory	TCGA-28-5209	0.00958440347797482
B_cells_memory	TCGA-28-5213	0.0326425291132049
B_cells_memory	TCGA-28-5215	0
B_cells_memory	TCGA-28-5216	0.00789536060414228
B_cells_memory	TCGA-28-5218	0
B_cells_memory	TCGA-28-5220	0.0107286721279628
B_cells_memory	TCGA-29-1688	0.0164912698601295
B_cells_memory	TCGA-29-1690	0
B_cells_memory	TCGA-29-1691	0
B_cells_memory	TCGA-29-1693	0.0703057797525208
B_cells_memory	TCGA-29-1694	0
B_cells_memory	TCGA-29-1695	0.0032175147534858
B_cells_memory	TCGA-29-1696	0
B_cells_memory	TCGA-29-1697	0.0313258186344094
B_cells_memory	TCGA-29-1698	0
B_cells_memory	TCGA-29-1699	0
B_cells_memory	TCGA-29-1701	0
B_cells_memory	TCGA-29-1702	0
B_cells_memory	TCGA-29-1703	0.0253998994460541
B_cells_memory	TCGA-29-1705	0
B_cells_memory	TCGA-29-1710	0.0400335560224045
B_cells_memory	TCGA-29-1711	0.00580934588196315
B_cells_memory	TCGA-29-1761	0.0369753797131291
B_cells_memory	TCGA-29-1762	0
B_cells_memory	TCGA-29-1763	0
B_cells_memory	TCGA-29-1770	0.0104567707041769
B_cells_memory	TCGA-29-1776	0
B_cells_memory	TCGA-29-1778	0
B_cells_memory	TCGA-29-1781	0.0163653741456513
B_cells_memory	TCGA-29-1783	0.0152582034141112
B_cells_memory	TCGA-29-1784	0.0404172716280157
B_cells_memory	TCGA-29-1785	0.0406576028192257
B_cells_memory	TCGA-29-2414	0.102249235648192
B_cells_memory	TCGA-29-2425	0.0569949157626473
B_cells_memory	TCGA-29-2427	0
B_cells_memory	TCGA-29-2428	0.0282882135505417
B_cells_memory	TCGA-29-A5NZ	0.116185308412906
B_cells_memory	TCGA-2A-A8VL	0
B_cells_memory	TCGA-2A-A8VO	0
B_cells_memory	TCGA-2A-A8VT	0
B_cells_memory	TCGA-2A-A8VV	0
B_cells_memory	TCGA-2A-A8W1	0.0685276505324751
B_cells_memory	TCGA-2A-A8W3	0.0669240894067625
B_cells_memory	TCGA-2A-AAYF	0.0351758072172423
B_cells_memory	TCGA-2A-AAYO	0.105171204165261
B_cells_memory	TCGA-2A-AAYU	3.63644223362409e-4
B_cells_memory	TCGA-2E-A9G8	0.0357391116986527
B_cells_memory	TCGA-2F-A9KO	0.00441808430906683
B_cells_memory	TCGA-2F-A9KP	0.232892098022229
B_cells_memory	TCGA-2F-A9KQ	0.0320207679184202
B_cells_memory	TCGA-2F-A9KR	0.121167323477496
B_cells_memory	TCGA-2F-A9KT	0.0461344887038668
B_cells_memory	TCGA-2F-A9KW	0
B_cells_memory	TCGA-2G-AAEW	0
B_cells_memory	TCGA-2G-AAEX	0
B_cells_memory	TCGA-2G-AAF1	0
B_cells_memory	TCGA-2G-AAF4	0
B_cells_memory	TCGA-2G-AAF6	0
B_cells_memory	TCGA-2G-AAF8	0
B_cells_memory	TCGA-2G-AAFG	0
B_cells_memory	TCGA-2G-AAFH	0
B_cells_memory	TCGA-2G-AAFI	0
B_cells_memory	TCGA-2G-AAFJ	0
B_cells_memory	TCGA-2G-AAFL	0
B_cells_memory	TCGA-2G-AAFM	0.0392925961958294
B_cells_memory	TCGA-2G-AAFN	0
B_cells_memory	TCGA-2G-AAFO	0
B_cells_memory	TCGA-2G-AAFV	0.0326192681224624
B_cells_memory	TCGA-2G-AAFY	0
B_cells_memory	TCGA-2G-AAFZ	0
B_cells_memory	TCGA-2G-AAG0	0
B_cells_memory	TCGA-2G-AAG3	0
B_cells_memory	TCGA-2G-AAG5	0.049141054913031
B_cells_memory	TCGA-2G-AAG6	0.0116810619904111
B_cells_memory	TCGA-2G-AAG7	0
B_cells_memory	TCGA-2G-AAG8	0
B_cells_memory	TCGA-2G-AAG9	0
B_cells_memory	TCGA-2G-AAGA	0
B_cells_memory	TCGA-2G-AAGC	0
B_cells_memory	TCGA-2G-AAGE	0
B_cells_memory	TCGA-2G-AAGF	0
B_cells_memory	TCGA-2G-AAGG	0
B_cells_memory	TCGA-2G-AAGI	0
B_cells_memory	TCGA-2G-AAGJ	0
B_cells_memory	TCGA-2G-AAGK	0
B_cells_memory	TCGA-2G-AAGM	0.00355771811467857
B_cells_memory	TCGA-2G-AAGN	0
B_cells_memory	TCGA-2G-AAGO	0
B_cells_memory	TCGA-2G-AAGP	0
B_cells_memory	TCGA-2G-AAGS	0
B_cells_memory	TCGA-2G-AAGT	0.00703827940742614
B_cells_memory	TCGA-2G-AAGV	0.0374914131731859
B_cells_memory	TCGA-2G-AAGW	0
B_cells_memory	TCGA-2G-AAGX	0
B_cells_memory	TCGA-2G-AAGY	0
B_cells_memory	TCGA-2G-AAGZ	0
B_cells_memory	TCGA-2G-AAH0	0
B_cells_memory	TCGA-2G-AAH2	0
B_cells_memory	TCGA-2G-AAH3	0
B_cells_memory	TCGA-2G-AAH4	0.00768414368650455
B_cells_memory	TCGA-2G-AAH8	0
B_cells_memory	TCGA-2G-AAHA	0
B_cells_memory	TCGA-2G-AAHC	0
B_cells_memory	TCGA-2G-AAHG	0
B_cells_memory	TCGA-2G-AAHL	0
B_cells_memory	TCGA-2G-AAHN	0
B_cells_memory	TCGA-2G-AAHP	0
B_cells_memory	TCGA-2G-AAHT	0
B_cells_memory	TCGA-2G-AAKD	0
B_cells_memory	TCGA-2G-AAKG	0
B_cells_memory	TCGA-2G-AAKH	0
B_cells_memory	TCGA-2G-AAKL	0
B_cells_memory	TCGA-2G-AAKM	0
B_cells_memory	TCGA-2G-AAKO	0.0577178808695348
B_cells_memory	TCGA-2G-AAL5	0.0797403148385964
B_cells_memory	TCGA-2G-AAL7	0
B_cells_memory	TCGA-2G-AALF	0.0460384089325916
B_cells_memory	TCGA-2G-AALG	0.107932143001761
B_cells_memory	TCGA-2G-AALN	0
B_cells_memory	TCGA-2G-AALO	0.00676928931157646
B_cells_memory	TCGA-2G-AALP	0
B_cells_memory	TCGA-2G-AALQ	0.0114778792796551
B_cells_memory	TCGA-2G-AALR	0.0176589345360497
B_cells_memory	TCGA-2G-AALS	0.0314316507321317
B_cells_memory	TCGA-2G-AALT	0.00643149240484212
B_cells_memory	TCGA-2G-AALW	0
B_cells_memory	TCGA-2G-AALX	0.0476347619789821
B_cells_memory	TCGA-2G-AALY	0
B_cells_memory	TCGA-2G-AALZ	0
B_cells_memory	TCGA-2G-AAM2	0
B_cells_memory	TCGA-2G-AAM3	0.00892886636137116
B_cells_memory	TCGA-2G-AAM4	0.0606737950694138
B_cells_memory	TCGA-2H-A9GF	0
B_cells_memory	TCGA-2H-A9GG	0
B_cells_memory	TCGA-2H-A9GH	0
B_cells_memory	TCGA-2H-A9GI	0
B_cells_memory	TCGA-2H-A9GK	0
B_cells_memory	TCGA-2H-A9GL	0
B_cells_memory	TCGA-2H-A9GM	0
B_cells_memory	TCGA-2H-A9GN	0.0107072987700017
B_cells_memory	TCGA-2H-A9GO	0.166534839483365
B_cells_memory	TCGA-2H-A9GQ	0.0365521129830735
B_cells_memory	TCGA-2H-A9GR	0
B_cells_memory	TCGA-2J-AAB1	0
B_cells_memory	TCGA-2J-AAB4	0.00720086344846604
B_cells_memory	TCGA-2J-AAB6	0.0422962264061452
B_cells_memory	TCGA-2J-AAB8	0.0708712183706542
B_cells_memory	TCGA-2J-AAB9	0
B_cells_memory	TCGA-2J-AABA	0
B_cells_memory	TCGA-2J-AABE	0.0426173600408585
B_cells_memory	TCGA-2J-AABF	0
B_cells_memory	TCGA-2J-AABH	0
B_cells_memory	TCGA-2J-AABI	0
B_cells_memory	TCGA-2J-AABK	0
B_cells_memory	TCGA-2J-AABO	0.0436841388620046
B_cells_memory	TCGA-2J-AABR	0.0162453654685685
B_cells_memory	TCGA-2J-AABT	0
B_cells_memory	TCGA-2J-AABU	0.0789430067626043
B_cells_memory	TCGA-2J-AABV	0.0289563461935935
B_cells_memory	TCGA-2K-A9WE	0.0250740628173377
B_cells_memory	TCGA-2L-AAQA	0.00877687922885144
B_cells_memory	TCGA-2L-AAQE	0.118020171876792
B_cells_memory	TCGA-2L-AAQI	0.069970415553192
B_cells_memory	TCGA-2L-AAQJ	0.0074341409338469
B_cells_memory	TCGA-2L-AAQL	0.0214148425189553
B_cells_memory	TCGA-2V-A95S	0.00721842038518669
